,session_id,hit_date,hit_time,hit_number,hit_type,hit_referer,hit_page_path,event_category,event_action,event_label,event_value
0,5639623078712724064.1640254056.1640254056,2021-12-23,597864.0,30,event,,sberauto.com/cars?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=bJJuEXRheRIxXEaYIXqM|BmWKiKCvBVipoWOpNUIL&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|iJxXDTgPAXGQYOdgCzqe|xAEYTlJDbQNwQTLGxICQ|pmvTbUlmnwAkuHIbvKUg|lFpAoUqEvHoyZfCNRuCR|oxjYxrkwnRSTTYcVZzdb|dtYJKUplNmmKCOfiziff|NgTCwCMgdzcCqxiALuwY|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|htxLmqvAkmISCliXGMzb|HbolMJUevblAbkHClEQa&utm_term_initial=&city=1&rental_page=rental_only&rental_car=rental_only&city=18,quiz,quiz_show,,
1,7750352294969115059.1640271109.1640271109,2021-12-23,597331.0,41,event,,sberauto.com/cars/fiat?city=1&city=18&rental_car=rental_only&utm_source_initial=sbol&utm_medium_initial=banner&utm_campaign_initial=zxoiLxhuSIFrCeTLQVWZ&rental_page=rental_only,quiz,quiz_show,,
2,885342191847998240.1640235807.1640235807,2021-12-23,796252.0,49,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?utm_source_initial=yandex&utm_medium_initial=cpc&utm_campaign_initial=nSReTmyFtbSjlPrTKoaX|fVHJqnfOFSWcsCBViJGr&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|YjagTPsykUtMSrHgFPJc|xAEYTlJDbQNwQTLGxICQ|dwfnIkMEwJhmnyojmAoc|lFpAoUqEvHoyZfCNRuCR|qEQeQoWWnoVEMwsyhUcz|rjbbNGNkjGThUJNtsWZQ|lquYtwbPScwqcMOoWYRp|ZIKCVYXYgRrZdwlVkEEf|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|vnTlRpYmthtVDImMLSmr|OfdDOXSwHYclonQJpPxh|igNLAJodDHSgqhPwufun|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,quiz,quiz_show,,
3,142526202120934167.1640211014.1640211014,2021-12-23,934292.0,46,event,,sberauto.com/cars?utm_source_initial=yandex&utm_medium_initial=cpc&utm_campaign_initial=XHNUiSKKGTEpSAlaVMFQ|qngiJQKcRremsAJnZbvx&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|FbLFbRPHmkXzRVZGVMml|xAEYTlJDbQNwQTLGxICQ|UfTTPxcoqsUGiUaNbCPg|lFpAoUqEvHoyZfCNRuCR|XHhwZeVQAlxBVPPTHGks|rjbbNGNkjGThUJNtsWZQ|SzHvtGAIoyKeoWyQATVI|ZIKCVYXYgRrZdwlVkEEf|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|vnTlRpYmthtVDImMLSmr|OfdDOXSwHYclonQJpPxh|YhdYMAYSoTzDKQYzVVMr|HbolMJUevblAbkHClEQa&utm_term_initial=&city=1&rental_page=rental_only&rental_car=rental_only&city=18,quiz,quiz_show,,
4,3450086108837475701.1640265078.1640265078,2021-12-23,768741.0,79,event,,sberauto.com/cars/all/mercedes-benz/cla-klasse/c917af36?rental_page=rental_car,quiz,quiz_show,,
5,6466333295973247896.1640246168.1640246168,2021-12-23,704194.0,41,event,,sberauto.com/cars?utm_source_initial=youtube&utm_medium_initial=cpm&utm_campaign_initial=FTjNLDyTrXaWYgZymFkV&utm_content_initial=xhoenQgDQsgfEPYNPwKO&utm_term_initial=rcScqexpyNHshwBMMfPx&city=1&rental_page=rental_only&rental_car=rental_only&city=18,quiz,quiz_show,,
6,281215510786615563.1640245516.1640245516,2021-12-23,911854.0,102,event,,sberauto.com/cars/toyota?isnew=false&rental_car=rental_only&utm_source_initial=sbol&utm_medium_initial=banner&utm_campaign_initial=LEoPHuyFvzoNfnzGgfcd&utm_content_initial=vCIpmpaGBnIQhyYNkXqp&rental_page=rental_only,quiz,quiz_show,,
7,4024492994895054107.1640269084.1640269084,2021-12-23,1071804.0,85,event,,sberauto.com/cars/all/mercedes-benz/glc/f8f3304e?rental_page=rental_car,quiz,quiz_show,,
8,555009234841130092.1640256620.1640256620,2021-12-23,1013899.0,101,event,VloVXNWduHeTjUoDkjkO,sberauto.com/cars/all/kia/sorento/c38179cb?utm_medium_initial=organic&utm_campaign_initial=okTXSMadDkjvntEHzIjp&utm_content_initial=LLfCasrxQzJIyuldcuWy&utm_term_initial=aXQzDWsJuGXeBXexNHjc&utm_referrer_initial=VloVXNWduHeTjUoDkjkO&utm_source_initial=dzen&rental_page=rental_car,quiz,quiz_show,,
9,2692901778487480807.1640206845.1640206845,2021-12-23,0.0,1,event,,sberauto.com/cars/all/nissan/x-trail/0744675f?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=UjApcvnaHtkydRkrLYuv|GLYSMECpzzEFJQzLBvqd&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|MrqOuJejbSSuQSThCvRD|xAEYTlJDbQNwQTLGxICQ|HbolMJUevblAbkHClEQa|lFpAoUqEvHoyZfCNRuCR|HbolMJUevblAbkHClEQa|dtYJKUplNmmKCOfiziff|HbolMJUevblAbkHClEQa|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|nTKjQPYMFGDmkNLybFvi|OfdDOXSwHYclonQJpPxh|gSNOpwpGHjLLifpuqSYp|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
10,1945627655676404094.1640276355.1640276355,2021-12-23,197.0,4,event,,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=yKpfDUhvBGiCyZJUYIhx&fbclid=iwar1xchcq6s8lrddx4edywhssq-odvkawpazwdmvuwq4bjqixvd8ih2rhs1o,card_web,view_card,,
11,4555345648396008371.1640233907.1640233907,2021-12-23,107.0,4,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/nissan/qashqai/bfc21661?rental_page=rental_car&fbclid=iwar32rynt41plrrcjymt9qtcjheepwkwx-m05mmiqf7axkagmropyqj8acpu,card_web,view_card,,
12,5636135307570360848.1640280592.1640280592,2021-12-23,12.0,3,event,,sberauto.com/cars/all/renault/duster/145d53f1?rental_page=rental_car?utm_source=mediatoday,card_web,view_card,,
13,6993187768713388524.1640276467.1640276467,2021-12-23,1186.0,4,event,,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=SsNBzwDJfUmTkvZdJYwh&fbclid=iwar0dsqqzlig3bw5fxv0hzmz9tiymjv9izo6inphw3oigujosf7g4l1n2yy8,card_web,view_card,,
